total.packets.a2b,resets.sent.a2b,resets.sent.b2a,dsack.pkts.sent.a2b,rexmt.data.pkts.b2a,rexmt.data.bytes.a2b,rexmt.data.bytes.b2a,min.segm.size.b2a,avg.win.adv.b2a,max.owin.b2a,min.non.zero.owin.b2a,avg.owin.a2b,avg.owin.b2a,wavg.owin.a2b,wavg.owin.b2a,initial.window.bytes.b2a,initial.window.pkts.b2a,data.xmit.time.a2b,throughput.a2b,rtt.min.a2b,rtt.max.a2b,rtt.avg.a2b,rtt.stdev.a2b,rtt.from.3whs.a2b,rtt.full.sz.smpls.a2b,rtt.full.sz.min.a2b,rtt.full.sz.max.a2b,rtt.min.last.a2b,rtt.avg.last.a2b,max.retrans.a2b,max.retr.time.a2b,rtt.samples.b2a,rtt.max.b2a,rtt.avg.b2a,rtt.stdev.b2a,rtt.from.3whs.b2a,rtt.full.sz.smpls.b2a,rtt.full.sz.min.b2a,rtt.full.sz.avg.b2a,post.loss.acks.b2a,rtt.min.last.b2a,rtt.max.last.b2a,rtt.avg.last.b2a,rtt.sdv.last.b2a,segs.cum.acked.b2a,triple.dupacks.b2a,max.retrans.b2a,min.retr.time.b2a,max.retr.time.b2a,avg.retr.time.b2a,sdv.retr.time.b2a,syn.pkts.sent.b2a,duplicate.acks.a2b,duplicate.acks.b2a,abs.uplinkdelay.75,abs.downlinkdeltadelay.25,abs.downlinkdeltadelay.50,abs.uplinkdeltadelay.25,abs.uplinkdeltadelay.50,abs.uplinkdeltadelay.avg,abs.uplinkdeltadelay.75,abs.rtt.min,abs.winratio.max,abs.radiobuffer.min,abs.idletime.50,abs.idletime.75,abs.idletime.max,abs.segmentsizes.max,abs.pushevents.sum,abs.instanttp.min,abs.rtoevents.sum,abs.theoricalmaxtp.avg,transfer.datarate
12051.0,23.0,0.0,2.0,2.0,0.0,752.0,43.0,325120.0,6114440.0,5.0,5.0,438622.0,4.0,411680.0,23168.0,5.0,0.0,157.0,12.3,68.4,48.3,0.0,28.8,1.0,28.1,28.8,0.0,0.0,0.0,0.0,2519.0,42.3,0.4,1.5,0.8,1.0,0.5,0.8,0.0,0.0,0.6,0.6,0.0,4627.0,0.0,1.0,0.0,0.9,0.18,0.0,5.0,0.0,2.0,10.0,170.0,185.0,15.0,16.0,16.8238286158818,17.0,11.0,0.439980292741226,0.0,0.0,0.999999996565748,19.0000000002328,65160.0,10760.0,0.0004,0.0,643.216821760998,617439.861
9718.0,64.0,0.0,0.0,0.0,0.0,0.0,141.0,325120.0,14615266.0,5.0,5.0,1708371.0,0.0,3698934.0,27512.0,5.0,0.0,160.0,15.1,19.3,18.3,0.0,19.3,1.0,18.0,19.3,0.0,0.0,0.0,0.0,1330.0,44.0,0.7,2.2,0.6,1.0,0.3,0.6,1163.0,0.0,0.0,0.0,0.0,6534.0,59.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2074.0,19.0,120.0,209.0,4.0,7.0,8.57820775368971,11.0,18.0,0.427926351901339,0.0,0.0,0.0,132.999999994354,40544.0,9742.0,0.00032,0.0,255.480185274452,168580.547
23820.0,31.0,0.0,1.0,1.0,0.0,1448.0,54.0,325120.0,17102460.0,5.0,5.0,763655.0,0.0,887580.0,20272.0,5.0,0.0,160.0,13.3,27.7,22.3,0.0,17.2,1.0,13.3,17.2,0.0,0.0,0.0,0.0,4917.0,8.4,0.5,0.6,0.8,1.0,0.3,0.8,246.0,0.0,0.0,0.0,0.0,10976.0,38.0,1.0,0.0,168.0,33.6,0.0,5.0,0.0,1600.0,13.0,15.0,23.0,4.0,6.0,6.73456510581771,8.0,12.0,0.432087381728739,0.0,0.0,0.0,66.00000000617,65160.0,26726.0,0.00016,0.0,751.425073188806,486446.949
24897.0,95.0,0.0,0.0,0.0,0.0,0.0,25.0,325120.0,15674183.0,5.0,5.0,597879.0,0.0,616290.0,30408.0,5.0,0.0,160.0,13.2,18.4,15.8,2.5,15.0,2.0,13.2,18.4,0.0,0.0,0.0,0.0,5053.0,43.4,0.5,1.3,1.1,1.0,0.3,1.1,354.0,0.0,0.0,0.0,0.0,10179.0,46.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1034.0,12.0,9.0,15.0,8.0,9.0,10.0808715136506,11.0,9.0,0.41963839604786,0.0,0.0,0.0,29.9999999988358,65160.0,28350.0,0.00024,0.0,765.644457603344,512899.593
24312.0,167.0,0.0,2.0,2.0,0.0,752.0,8.0,325120.0,15223673.0,5.0,5.0,528650.0,0.0,504900.0,28960.0,5.0,0.0,155.0,14.2,23.1,19.1,0.0,23.1,1.0,14.2,23.1,0.0,0.0,0.0,0.0,5454.0,15.7,0.5,0.7,0.6,1.0,0.3,0.6,223.0,0.0,0.0,0.0,0.0,10778.0,41.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,756.0,14.0,16.0,23.0,6.0,8.0,9.35647756138865,11.0,14.0,0.424606485861392,0.0,0.0,0.0,67.9999999993015,65160.0,28479.0,8e-05,0.0,768.03939417409,535812.967
23868.0,84.0,0.0,0.0,0.0,0.0,0.0,224.0,325120.0,17758196.25,5.0,5.0,770160.0,0.0,995105.0,57920.0,10.0,0.0,155.0,11.5,22.9,17.4,0.0,11.9,1.0,11.5,11.9,0.0,0.0,0.0,0.0,4566.0,32.1,0.5,1.3,1.2,1.0,0.8,1.2,179.0,0.0,0.0,0.0,0.0,11658.0,46.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1826.0,14.0,8.0,13.0,5.0,7.0,8.13784803732208,10.0,11.0,0.492523387738854,0.0,0.0,0.0,25.0000000014552,65160.0,27783.0,0.00024,0.0,733.116707862814,451171.99
22693.0,32.0,0.0,0.0,0.0,0.0,0.0,12.0,325120.0,16291341.0,5.0,5.0,728045.0,3.0,703407.0,26064.0,6.0,0.0,155.0,11.9,46.5,30.1,0.0,14.0,1.0,11.9,14.0,0.0,0.0,0.0,0.0,4326.0,8.1,0.5,0.5,0.5,1.0,0.3,0.5,511.0,0.0,0.0,0.0,0.0,13020.0,60.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1876.0,12.0,7.0,12.0,5.0,7.0,7.65974573753936,9.0,12.0,0.464215170712613,0.0,0.0,0.0,27.9999999984284,65160.0,28236.0,0.00016,0.0,682.991848052793,356367.427
22361.0,104.0,0.0,33.0,33.0,0.0,156384.0,94.0,325120.0,4503648.33333333,5.0,5.0,159906.0,0.0,168080.0,34752.0,6.0,0.0,160.0,12.7,21.0,18.5,0.0,16.1,1.0,12.7,16.1,0.0,0.0,0.0,0.0,4419.0,15.1,0.5,0.6,0.5,1.0,0.2,0.5,58.0,0.0,0.0,0.0,0.0,8336.0,26.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,277.0,14.0,5.0,9.0,5.0,7.0,7.44263053536021,9.0,12.0,0.279880355372794,0.0,0.0,0.0,152.999999998428,39096.0,27004.0,0.00016,7.0,521.625934987175,363052.69
26293.0,130.0,0.0,0.0,0.0,0.0,0.0,8.0,325120.0,17563780.0,5.0,5.0,852584.0,4.0,980438.0,23168.0,8.0,0.0,155.0,15.6,35.9,26.2,0.0,16.9,1.0,15.6,16.9,0.0,0.0,0.0,0.0,4866.0,13.1,0.5,0.5,0.7,1.0,0.4,0.7,958.0,0.0,0.0,0.0,0.0,12840.0,53.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2162.0,14.0,7.0,11.0,8.0,10.0,10.8003894572283,13.0,11.0,0.465318026086897,0.0,0.0,0.0,135.999999998603,65160.0,28363.0,8e-05,0.0,1014.75068948008,507726.827
26266.0,104.0,0.0,0.0,0.0,0.0,0.0,8.0,325120.0,16489836.0,5.0,5.0,741334.0,0.0,737036.0,53576.0,9.0,0.0,160.0,10.6,26.2,20.2,0.0,14.3,1.0,10.6,14.3,0.0,0.0,0.0,0.0,4773.0,33.3,0.5,0.6,0.7,1.0,0.2,0.7,810.0,0.0,0.0,0.0,0.0,12197.0,60.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2165.0,14.0,6.0,11.0,4.0,6.0,7.39246021896804,9.0,11.0,0.446526074626775,0.0,0.0,0.0,23.0000000010477,65160.0,28659.0,0.00016,0.0,870.238790572265,499207.722
