resets.sent.a2b,resets.sent.b2a,sack.pkts.sent.b2a,dsack.pkts.sent.b2a,rexmt.data.pkts.a2b,outoforder.pkts.a2b,pushed.data.pkts.a2b,max.segm.size.a2b,min.segm.size.a2b,max.win.adv.b2a,avg.win.adv.b2a,max.owin.a2b,avg.owin.a2b,avg.owin.b2a,wavg.owin.a2b,initial.window.bytes.a2b,data.xmit.time.b2a,idletime.max.a2b,idletime.max.b2a,throughput.b2a,rtt.min.a2b,rtt.max.a2b,rtt.avg.a2b,rtt.stdev.a2b,rtt.from.3whs.a2b,rtt.full.sz.smpls.a2b,rtt.full.sz.min.a2b,rtt.full.sz.max.a2b,rtt.full.sz.avg.a2b,post.loss.acks.a2b,rtt.min.last.a2b,rtt.max.last.a2b,rtt.avg.last.a2b,rtt.sdv.last.a2b,segs.cum.acked.a2b,triple.dupacks.a2b,max.retrans.a2b,min.retr.time.a2b,max.retr.time.a2b,avg.retr.time.a2b,sdv.retr.time.a2b,fin.pkts.sent.a2b,ambiguous.acks.a2b,rtt.samples.b2a,rtt.min.b2a,rtt.stdev.b2a,rtt.full.sz.avg.b2a,triple.dupacks.b2a,max.retr.time.b2a,duplicate.acks.a2b,duplicate.acks.b2a,transfer.datarate
0.0,0.0,11464.0,0.0,1474.0,1711.0,6159.0,1388.0,295.0,41405440.0,28935428.0,10623757.0,4398523.0,5.0,4892520.0,70875.0,0.0,731.1,752.8,0.0,15.7,1377.9,673.0,436.0,27.9,1.0,17.7,27.9,27.9,937.0,0.6,1140.2,758.4,278.0,10900.0,61.0,3.0,413.8,1603.8,919.62,263.18,0.0,1345.0,1.0,0.3,0.0,0.5,0.0,0.0,9731.0,0.0,28109.082
0.0,0.0,7951.0,0.0,1968.0,1028.0,7061.0,1388.0,295.0,41938560.0,34465359.0,11470437.0,3492695.0,5.0,3832331.0,63935.0,0.0,505.7,531.1,0.0,19.0,602.0,188.4,84.6,34.0,1.0,32.4,34.0,34.0,1599.0,0.0,578.7,577.6,264.9,7563.0,30.0,3.0,143.2,650.2,449.96,83.4,0.0,245.0,1.0,0.9,0.0,1.2,0.0,0.0,6700.0,1.0,117447.107
0.0,0.0,26390.0,0.0,4461.0,3281.0,12966.0,1388.0,295.0,39869824.0,34438400.0,10637637.0,3206663.0,5.0,3346098.0,63935.0,0.0,497.9,496.8,0.0,16.5,568.3,153.6,100.9,28.4,1.0,16.5,28.4,28.4,1583.0,28.2,574.7,227.5,169.5,26969.0,180.0,3.0,204.1,578.9,323.22,85.14,0.0,1830.0,1.0,0.2,0.0,0.4,0.0,0.0,23582.0,0.0,91225.805
0.0,0.0,5991.0,0.0,424.0,1014.0,15524.0,1388.0,295.0,40619904.0,36395080.0,2923133.0,936504.0,5.0,948160.0,63935.0,0.0,363.5,515.8,0.0,15.9,563.8,82.4,94.3,19.9,1.0,17.5,19.9,19.9,268.0,19.0,323.6,189.7,106.0,7092.0,62.0,2.0,215.9,577.0,329.7,88.86,0.0,515.0,1.0,0.3,0.0,0.7,0.0,0.0,5742.0,0.0,62629.832
0.0,0.0,15623.0,0.0,824.0,1936.0,13098.0,1388.0,295.0,41882752.0,33861785.0,8330781.0,3321451.0,5.0,3317949.0,63935.0,0.0,241.0,262.6,0.0,25.2,528.3,303.2,107.2,26.4,1.0,25.2,26.4,26.4,528.0,236.4,392.3,304.2,42.1,16179.0,48.0,2.0,253.7,586.5,363.1,64.38,0.0,955.0,1.0,0.4,0.0,1.1,0.0,0.0,14730.0,0.0,62931.226
0.0,0.0,29510.0,0.0,4149.0,7848.0,13899.0,1388.0,20.0,36989696.0,24277433.0,12430933.0,3700165.0,5.0,3800484.0,63935.0,0.0,498.2,400.3,0.0,19.5,620.0,202.2,125.5,23.6,1.0,21.2,23.6,23.6,1924.0,25.2,263.6,135.7,67.4,30400.0,208.0,2.0,123.7,712.1,383.68,92.6,0.0,1340.0,1.0,0.4,0.0,0.9,0.0,0.0,23132.0,0.0,94766.394
0.0,0.0,28133.0,0.0,4146.0,5873.0,14310.0,1388.0,295.0,41445632.0,31948231.0,10450257.0,3851323.0,5.0,4008330.0,69487.0,0.0,388.2,399.8,0.0,18.7,578.6,204.0,84.3,20.6,1.0,18.7,20.6,20.6,2480.0,35.8,382.8,176.8,67.8,28140.0,221.0,3.0,212.8,797.0,387.1,136.16,0.0,2445.0,1.0,0.3,0.0,0.7,0.0,0.0,24124.0,0.0,92712.154
0.0,0.0,25769.0,0.0,3784.0,6559.0,10977.0,1388.0,44.0,29866112.0,17434189.0,13331745.0,4094836.0,5.0,3894973.0,63935.0,0.0,548.5,310.6,0.0,16.3,476.4,210.2,86.6,38.5,1.0,34.6,38.5,38.5,2023.0,29.4,228.7,137.3,70.7,24862.0,168.0,3.0,263.9,670.6,363.98,75.1,0.0,1945.0,1.0,0.4,0.0,1.1,0.0,0.0,19701.0,0.0,96566.829
0.0,0.0,11404.0,0.0,1464.0,1861.0,16246.0,1388.0,20.0,36771200.0,29610566.0,7881069.0,2552514.0,5.0,2266515.0,63935.0,0.0,725.5,600.8,0.0,21.4,521.3,198.3,90.3,28.0,1.0,26.9,28.0,28.0,951.0,19.8,290.0,162.4,81.9,11403.0,65.0,2.0,89.7,578.2,278.36,100.08,0.0,1770.0,1.0,0.3,0.0,0.5,0.0,0.0,9852.0,1.0,79044.717
0.0,0.0,2798.0,0.0,523.0,2227.0,15565.0,1388.0,4.0,36544640.0,25481450.0,7128773.0,3496783.0,5.0,3079934.0,63935.0,0.0,267.9,250.6,0.0,19.0,308.9,195.3,41.7,33.1,1.0,25.8,33.1,33.1,452.0,0.0,264.4,233.8,24.9,2952.0,9.0,1.0,0.0,567.2,268.08,22.56,0.0,335.0,1.0,0.3,0.0,0.8,0.0,0.0,2267.0,0.0,115524.529
