resets.sent.a2b,pure.acks.sent.a2b,sack.pkts.sent.a2b,sack.pkts.sent.b2a,dsack.pkts.sent.a2b,dsack.pkts.sent.b2a,actual.data.pkts.b2a,rexmt.data.pkts.b2a,rexmt.data.bytes.a2b,rexmt.data.bytes.b2a,outoforder.pkts.a2b,outoforder.pkts.b2a,pushed.data.pkts.a2b,pushed.data.pkts.b2a,max.segm.size.a2b,max.segm.size.b2a,min.segm.size.a2b,min.segm.size.b2a,avg.segm.size.a2b,avg.segm.size.b2a,max.win.adv.a2b,max.win.adv.b2a,min.win.adv.a2b,avg.win.adv.a2b,avg.win.adv.b2a,max.owin.a2b,max.owin.b2a,min.non.zero.owin.a2b,min.non.zero.owin.b2a,avg.owin.a2b,avg.owin.b2a,wavg.owin.a2b,initial.window.bytes.a2b,initial.window.bytes.b2a,initial.window.pkts.a2b,initial.window.pkts.b2a,truncated.data.a2b,truncated.data.b2a,truncated.packets.b2a,data.xmit.time.a2b,data.xmit.time.b2a,idletime.max.a2b,idletime.max.b2a,throughput.a2b,throughput.b2a,rtt.samples.a2b,rtt.min.a2b,rtt.max.a2b,rtt.avg.a2b,rtt.stdev.a2b,rtt.from.3whs.a2b,rtt.full.sz.smpls.a2b,rtt.full.sz.min.a2b,rtt.full.sz.max.a2b,rtt.full.sz.avg.a2b,post.loss.acks.a2b,rtt.min.last.a2b,rtt.max.last.a2b,rtt.avg.last.a2b,rtt.sdv.last.a2b,segs.cum.acked.a2b,triple.dupacks.a2b,max.retrans.a2b,min.retr.time.a2b,max.retr.time.a2b,avg.retr.time.a2b,sdv.retr.time.a2b,syn.pkts.sent.a2b,fin.pkts.sent.a2b,ambiguous.acks.a2b,rtt.samples.b2a,rtt.min.b2a,rtt.max.b2a,rtt.avg.b2a,rtt.stdev.b2a,rtt.from.3whs.b2a,rtt.full.sz.smpls.b2a,rtt.full.sz.min.b2a,rtt.full.sz.max.b2a,rtt.full.sz.avg.b2a,post.loss.acks.b2a,rtt.min.last.b2a,rtt.max.last.b2a,rtt.avg.last.b2a,rtt.sdv.last.b2a,segs.cum.acked.b2a,triple.dupacks.b2a,max.retrans.b2a,min.retr.time.b2a,max.retr.time.b2a,avg.retr.time.b2a,sdv.retr.time.b2a,syn.pkts.sent.b2a,fin.pkts.sent.b2a,duplicate.acks.a2b,duplicate.acks.b2a,transfer.datarate
2.0,59.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,1.0,11.0,56.0,517.0,4164.0,31.0,31.0,353.0,2348.5,416768.0,137728.0,262144.0,222240.0,136217.0,1339.0,14223.0,2.0,2.0,423.0,5982.0,271.0,1034.0,9010.0,2.0,4.0,2069.0,138027.0,58.0,0.273,0.239,67.4,106.8,12758.0,459238.0,7.0,25.4,36.2,32.2,5.4,34.3,2.0,25.4,34.3,34.3,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,55.0,0.1,1.2,0.3,0.2,0.3,1.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,3687.56
1.0,10.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,517.0,1936.0,31.0,31.0,247.5,827.5,147456.0,131072.0,262144.0,128414.0,131072.0,1203.0,3874.0,2.0,2.0,396.0,1209.0,435.0,1034.0,3872.0,2.0,2.0,1405.0,5199.0,9.0,0.11,0.126,38.8,69.3,10449.0,33048.0,6.0,28.4,38.1,34.0,4.4,29.7,1.0,28.4,29.7,29.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,8.0,0.4,1.4,0.8,0.3,0.6,1.0,0.5,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,9125.947
0.0,85.0,1.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,1.0,18.0,82.0,517.0,2776.0,31.0,31.0,194.0,1437.66666666667,583680.0,203520.0,589824.0,379428.0,202816.0,1744.0,23441.0,3.0,3.0,318.0,6229.0,704.0,1551.0,13817.0,3.0,6.0,2860.0,177482.0,82.0,0.228,0.174,69.0,70.7,16233.0,630905.0,7.0,29.8,68.8,45.6,15.8,37.1,1.0,31.0,37.1,37.1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,68.0,0.1,1.9,0.6,0.5,0.6,1.0,0.2,0.6,0.6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,9667.723
0.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,517.0,2776.0,31.0,31.0,196.0,910.0,80896.0,67840.0,65536.0,76141.0,67560.0,592.0,4863.0,1.0,1.0,111.0,999.0,244.0,517.0,4862.0,1.0,2.0,964.0,6095.0,7.0,0.123,0.063,57.6,50.1,5544.0,30001.0,5.0,37.8,48.5,42.7,4.4,39.7,1.0,39.7,39.7,39.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.1,0.5,0.3,0.1,0.2,1.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7398.1
0.0,96.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,26.0,37.0,1388.0,65236.0,38.0,38.0,207.0,27283.0,4185088.0,61440.0,65536.0,2078744.0,49571.0,3104.0,177665.0,1.0,1.0,264.0,37158.0,199.0,517.0,3216.0,1.0,1.0,5209.0,2881479.0,106.0,1.807,1.804,828.0,910.1,2897.0,1492229.0,16.0,54.4,108.3,67.2,14.4,54.9,1.0,54.9,54.9,54.9,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,96.0,0.1,3.8,0.5,0.5,0.3,1.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13419.456
0.0,28.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,7.0,26.0,517.0,2776.0,0.0,0.0,66.3333333333333,778.666666666667,327678.0,69120.0,589818.0,250292.0,68336.0,609.0,5553.0,1.0,1.0,108.0,2350.0,735.0,517.0,5552.0,1.0,2.0,1193.0,60006.0,27.0,0.255,0.289,99.2,95.1,12246.0,553050.0,8.0,0.0,35.6,27.1,6.6,20.4,1.0,0.0,20.4,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,28.0,0.0,1.8,0.4,0.5,0.3,1.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5117.884
0.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1117.0,2048.0,64.0,27.0,638.0,934.0,78848.0,65536.0,65536.0,72797.0,65536.0,1496.0,3105.0,1.0,1.0,374.0,980.0,415.0,517.0,3104.0,1.0,2.0,2989.0,4391.0,5.0,0.835,0.969,637.8,664.8,3117.0,4560.0,4.0,20.8,27.8,24.9,3.0,27.8,1.0,27.8,27.8,27.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.3,0.8,0.5,0.2,0.4,1.0,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3767.07
0.0,186.0,0.0,0.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,11.0,72.0,186.0,1388.0,12492.0,31.0,31.0,189.666666666667,3394.66666666667,2677760.0,229376.0,589824.0,1235524.0,215679.0,5218.0,70689.0,3.0,3.0,1285.0,14544.0,634.0,1551.0,12352.0,3.0,5.0,12899.0,1214179.0,189.0,2.881,2.904,1355.6,1393.6,17374.0,623385.0,27.0,19.4,51.7,33.7,7.2,31.0,1.0,19.4,31.0,31.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,161.0,0.1,47.0,0.6,3.7,0.4,1.0,0.3,0.4,0.4,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4219.998
18.0,363.0,1.0,1.0,1.0,1.0,366.0,1.0,39.0,1188.0,0.0,0.0,101.0,358.0,1388.0,4164.0,0.0,0.0,273.5,1667.13636363636,3044349.0,1483005.0,31719358.0,1831188.0,1478349.0,15222.0,118781.0,19.0,19.0,4350.0,47608.0,5342.0,9823.0,86318.0,19.0,39.0,18498.0,772484.0,365.0,0.39,0.349,164.1,142.6,122722.0,3270792.0,9.0,24.7,76.3,59.2,23.9,76.3,2.0,24.7,76.3,59.2,0.0,0.0,1.8,1.8,0.0,38.0,0.0,1.0,0.0,72.2,3.28181818181818,0.0,22.0,9.0,22.0,75.0,0.0,42.6,1.4,6.8,0.9,1.0,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,7.0,4.0,6.0,3733.231
5.0,934.0,108.0,2.0,1.0,2.0,1000.0,1.0,455.0,31.0,0.0,73.0,110.0,826.0,520.0,65236.0,0.0,0.0,174.555555555556,2332.66666666667,8841213.0,1180038.0,21233610.0,4712506.0,1175536.0,9280.0,661429.0,15.0,15.0,1311.0,124108.0,2426.0,7755.0,54666.0,15.0,27.0,17970.0,4350043.0,997.0,2.705,3.364,1567.3,1633.5,55040.0,4481557.0,13.0,16.1,91.1,60.4,32.0,77.5,2.0,17.7,77.5,75.6,0.0,0.0,45.8,45.8,0.0,18.0,0.0,1.0,0.0,239.6,17.1,0.0,18.0,2.0,36.0,248.0,0.0,43.7,1.9,8.2,0.6,1.0,0.0,0.6,0.6,16.0,0.0,0.0,0.0,0.0,172.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,3.0,10.0,8608.203
1.0,36.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0,1.0,0.0,0.0,25.0,26.0,1342.0,5997.0,31.0,0.0,454.4,1396.3,766976.0,665088.0,6553600.0,707094.0,663714.0,7282.0,41910.0,10.0,10.0,2176.0,16417.0,1639.0,5170.0,35400.0,10.0,14.0,8204.0,49929.0,26.0,0.125,0.23,168.8,108.3,90784.0,380462.0,6.0,17.6,59.9,56.3,13.0,57.4,2.0,17.6,57.4,57.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,8.0,0.1,2.7,1.4,0.9,2.7,1.0,0.2,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,2.0,1.0,9507.188
1.0,45.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,7.0,45.0,517.0,6940.0,0.0,0.0,91.5,1669.0,445439.0,133631.0,262142.0,215905.0,133515.0,661.0,18045.0,1.0,1.0,61.0,5332.0,148.0,517.0,5552.0,1.0,2.0,1084.0,147697.0,46.0,0.064,0.098,41.7,41.8,6617.0,788950.0,8.0,21.6,34.3,28.8,4.4,28.8,1.0,26.4,28.8,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45.0,0.0,41.8,1.2,6.2,0.2,1.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7273.2
0.0,240.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,26.0,31.0,1388.0,65236.0,38.0,38.0,207.0,11119.0,3144704.0,64000.0,65536.0,2088085.0,52679.0,3160.0,101325.0,1.0,1.0,127.0,13043.0,119.0,517.0,3216.0,1.0,1.0,5210.0,2857590.0,260.0,3.106,3.106,742.4,798.5,1737.0,894097.0,16.0,53.0,101.8,63.0,13.2,62.0,1.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,240.0,0.1,5.3,0.5,0.6,0.3,1.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7599.047
